Fecha	Comprador	Vendedor	Jugador	Precio	Tipo	Foto
20/08/2020 - 20:14:00	Maño's Team	futmondo	Thomas	19501000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67175052.png
10/09/2020 - 22:19:00	futmondo	Maño's Team	Semedo	16070511	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/55061470.png
05/09/2020 - 21:26:00	Ruben Esteban	futmondo	Dani García	11501000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67104797.png
15/09/2020 - 15:05:00	Hala Modric	Gaditas FC	Emre Mor	3980000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/27102375.png
21/08/2020 - 20:15:00	Maño's Team	futmondo	Semedo	19501999	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/55061470.png
18/09/2020 - 21:30:00	Albar ÉldelBar	futmondo	Vesga	1000000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67195855.png
25/08/2020 - 21:14:00	jglelxino17	futmondo	Rodrigo Ely	2108008	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/43080624.png
25/08/2020 - 21:14:00	echo de menos el Netliga	futmondo	Casemiro	57000000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/19061518.png
09/09/2020 - 21:31:00	Hala Modric	futmondo	Guido Rodríguez	1450000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/14043255.png
25/08/2020 - 21:14:00	PaKeTeS ⚽️	futmondo	Campaña	23580000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67089223.png
